NO_bat,X50s_bat,Runs_bat,Balls_bat,SR_bat,SS_bat,Dotpc_bat,X1pc_bat,X4Pluspc_bat,Avg_bat,Runs_bowl,Wickets_bowl,Mpc_bowl,Dotpc_bowl,X4Pluspc_bowl,SR_bowl,ER_bowl,SRxER_bowl,lte2R_bowl,lte2pc_bowl,Avg_bowl,lte4pc_bowl,gte8pc_bowl,Balls_bowl,NBpc_bowl,WDpc_bowl,outcome
2,0,143,120,119.2,64.2,35.8,45,11.7,20.43,146,4,5.3,35.8,15.8,30,7.5,224.6,2,10.5,36.5,15.54404145,31.0880829,115.8,0,2.590673575,Lost
2,0,166,106,156.6,60.4,39.6,29.2,24.5,55.33,163,6,0,34.9,16.7,21,8.2,171.2,1,5,27.17,10,50,120,2.5,2.5,Won
2,1,147,117,125.6,63.2,36.8,37.6,16.2,36.75,141,4,0,34.1,11.1,31.5,7.1,222.1,1,5,35.25,30,35,120,0,5.833333333,Won
1,2,165,123,134.1,64.2,35.8,38.2,17.1,23.57,161,3,0,37.6,23.9,36.3,9.3,337.5,0,0,53.67,0,34.88372093,103.2,1.937984496,2.906976744,Lost
2,0,148,120,123.3,64.2,35.8,41.7,15,74,120,7,5,46.7,13.9,17.4,6,104.6,5,25,17.14,45,30,120,0,1.666666667,Won
2,0,121,120,100.8,52.5,47.5,35,14.2,15.13,146,2,0,35.2,14.8,61,7.3,445.3,0,0,73,15,30,120,0,5,Lost
1,1,149,120,124.2,60,40,35,16.7,29.8,100,6,0,45.2,5.6,20.7,5,103.3,4,20,16.67,35,10,120,0,3.333333333,Won
2,0,101,120,84.2,53.3,46.7,40,5.8,14.43,149,4,0,38.7,16.1,31,7.5,231,2,10,37.25,20,45,120,0,4.166666667,Lost
1,1,172,120,143.3,63.3,36.7,39.2,16.7,24.57,135,2,0,32.3,11.3,62,6.8,418.5,2,10,67.5,25,30,120,0,3.333333333,Won
2,2,136,120,113.3,66.7,33.3,49.2,11.7,68,163,5,0,35.2,15.2,25,8.2,203.8,0,0,32.6,30,40,120,0,5,Lost
